time,Open,High,Low,Close,Volume
2021-02-28,13.19,13.94,11.46,13.07,1294846.97
2021-03-01,13.07,16.08,13.07,14.98,870671.54
2021-03-02,14.98,15.49,13.47,13.98,558524.77
2021-03-03,13.98,14.76,13.77,14.13,561517.14
2021-03-04,14.13,14.27,12.75,13.08,452931.62
2021-03-05,13.08,13.09,12.15,12.57,442876.3
2021-03-06,12.57,13.3,11.9,13.07,482722.34
2021-03-07,13.07,14.01,12.72,13.85,337355.9
2021-03-08,13.85,13.89,13.08,13.65,376503.25
2021-03-09,13.65,15.01,13.31,14.85,572308.7
2021-03-10,14.85,15.51,13.49,14.19,722236.38
2021-03-11,14.19,16.31,13.69,16.01,943467.96
2021-03-12,16.01,16.49,14.09,14.58,671884.43
2021-03-13,14.58,15.63,13.91,15.29,751813.27
2021-03-14,15.29,15.39,14.38,14.48,389263.09
2021-03-15,14.45,14.33,13.11,14.16,1183331.48
2021-03-16,14.16,14.29,13.23,13.64,540758.23
2021-03-17,13.64,14.93,14.02,14.22,1377046.64
2021-03-18,14.22,14.46,13.64,14.22,980687.41
2021-03-19,14.22,14.47,13.88,14.14,765715.33
2021-03-20,14.14,14.95,14.11,14.16,251538.77
2021-03-21,14.16,14.38,13.64,14.33,386272.78
2021-03-22,14.33,16.64,14.17,14.81,1251742.83
2021-03-23,14.81,15.21,14.06,14.16,701660.06
2021-03-24,14.16,15.34,13.59,13.59,569705.84
2021-03-25,13.59,13.68,12.58,13.0,648059.41
2021-03-26,13.0,14.79,12.29,14.77,697918.99
2021-03-27,14.77,16.81,14.74,16.47,1124818.37
2021-03-28,16.47,19.36,16.34,18.08,1299090.74
2021-03-29,18.08,19.01,17.67,18.92,905815.07
2021-03-30,18.92,20.86,18.9,19.1,968151.1
2021-03-31,19.1,19.81,18.06,19.42,791646.45
2021-04-01,19.42,20.76,18.77,19.04,900981.65
2021-04-02,19.04,19.81,18.55,19.77,581004.87
2021-04-03,19.77,23.8,19.74,22.44,2369795.47
2021-04-04,22.44,25.53,22.04,23.81,1419407.39
2021-04-05,23.81,24.76,22.77,22.99,1149970.78
2021-04-06,22.99,25.3,21.86,25.09,1246621.91
2021-04-07,25.09,27.56,22.97,26.54,2453668.76
2021-04-08,26.54,27.94,25.65,26.99,1255045.05
2021-04-09,26.99,28.98,26.83,27.67,942740.98
2021-04-10,27.67,28.24,25.95,26.78,1004785.46
2021-04-11,26.78,28.61,25.54,27.88,598627.16
2021-04-12,27.88,29.86,26.81,28.5,1053778.68
2021-04-13,28.5,28.72,26.39,27.48,960314.65
2021-04-14,27.48,27.58,24.7,26.41,1761317.29
2021-04-15,26.41,28.23,25.49,27.79,1051879.89
2021-04-16,27.79,28.23,24.92,25.33,1174847.23
2021-04-17,25.33,26.76,24.8,24.86,811164.23
2021-04-18,24.86,32.98,21.04,32.38,4449242.55
2021-04-19,32.38,35.99,29.98,31.58,3603042.41
2021-04-20,31.58,32.64,28.7,31.77,3506244.77
2021-04-21,31.77,35.05,30.19,32.62,2932890.59
2021-04-22,32.62,40.72,31.58,38.87,4871861.77
2021-04-23,38.87,41.15,31.46,37.21,5024183.78
2021-04-24,37.21,43.63,34.69,40.82,2503857.9
2021-04-25,40.82,48.54,40.46,47.59,2767776.2
2021-04-26,47.59,48.5,43.37,43.96,2026165.98
2021-04-27,43.96,46.59,42.58,43.26,1965346.81
2021-04-28,43.26,46.91,40.74,44.85,2259715.51
2021-04-29,44.85,46.09,40.8,42.55,2012003.39
2021-04-30,42.55,44.3,41.26,42.87,1810908.72
2021-05-01,42.87,49.89,42.04,49.58,1698768.57
2021-05-02,49.58,49.95,46.03,46.91,1109105.01
2021-05-03,46.91,49.28,44.73,46.06,1986200.26
2021-05-04,46.06,47.81,42.3,42.64,2116686.28
2021-05-05,42.64,46.41,42.32,44.98,1564779.69
2021-05-06,44.98,44.98,42.62,43.51,1333292.08
2021-05-07,43.51,46.23,41.5,43.21,1671360.8
2021-05-08,43.21,46.72,42.4,45.73,1325794.53
2021-05-09,45.73,47.15,43.01,44.35,1370324.94
2021-05-10,44.35,45.95,39.05,42.94,1796659.18
2021-05-11,42.94,45.17,39.66,44.64,1727664.46
2021-05-12,44.64,49.11,41.52,42.94,3452771.34
2021-05-13,42.94,45.44,37.45,41.0,3001169.46
2021-05-14,41.0,44.99,39.93,42.79,1144005.62
2021-05-15,42.79,45.57,39.41,43.46,1229205.14
2021-05-16,43.46,52.43,41.89,46.85,3991040.36
2021-05-17,46.85,51.91,43.18,46.65,4186321.81
2021-05-18,46.65,58.36,46.11,55.98,3375122.29
2021-05-19,55.98,57.59,29.55,34.96,8330583.33
2021-05-20,34.96,49.9,31.33,44.42,6470223.87
2021-05-21,44.42,47.73,33.65,38.91,4546336.16
2021-05-22,38.91,39.99,31.2,31.28,2782363.87
2021-05-23,31.28,32.38,19.19,24.53,9023107.03
2021-05-24,24.53,32.22,24.53,31.45,4401095.2
2021-05-25,31.45,33.19,25.99,30.08,3115883.69
2021-05-26,30.08,37.27,28.93,35.46,2946675.66
2021-05-27,35.46,35.64,31.13,33.71,2422605.7
2021-05-28,33.71,34.53,27.99,29.0,2392944.45
2021-05-29,29.0,30.06,25.73,27.39,1612794.22
2021-05-30,27.39,29.76,25.64,28.6,1183915.98
2021-05-31,28.6,33.0,27.52,32.78,1932934.24
2021-06-01,32.78,33.29,29.86,30.98,1470365.58
2021-06-02,30.98,34.98,30.43,33.98,1456207.79
2021-06-03,33.98,41.31,33.73,39.56,2431659.96
2021-06-04,39.56,39.69,34.26,37.42,2708196.58
2021-06-05,37.42,42.75,37.06,39.75,2655943.65
2021-06-06,39.75,43.42,38.98,42.23,1658051.62
2021-06-07,42.23,44.19,37.93,38.28,1985345.25
2021-06-08,38.28,42.8,33.6,41.26,4498051.54
2021-06-09,41.26,44.06,39.32,42.03,2405134.96
2021-06-10,42.03,43.04,39.53,41.09,1116008.11
2021-06-11,41.09,41.36,35.16,36.18,1477694.49
2021-06-12,36.18,37.62,34.24,36.48,1256201.43
2021-06-13,36.48,39.39,34.73,38.72,940217.48
2021-06-14,38.72,40.54,36.68,39.72,1103400.52
2021-06-15,39.72,41.72,39.18,39.55,1147151.19
2021-06-16,39.55,41.55,37.48,39.63,1311730.2
2021-06-17,39.63,41.21,38.22,39.22,1031647.81
2021-06-18,39.22,39.44,34.95,36.79,1030622.37
2021-06-19,36.79,37.31,34.91,35.19,661474.52
2021-06-20,35.19,35.94,31.24,35.25,1449187.07
2021-06-21,35.25,35.47,24.12,26.65,3244335.3
2021-06-22,26.65,28.78,20.24,26.98,5381171.54
2021-06-23,26.98,32.92,25.7,30.84,3249264.82
2021-06-24,30.84,32.97,28.5,31.18,1866038.0
2021-06-25,31.18,32.97,27.97,28.63,2175304.67
2021-06-26,28.63,30.01,26.71,29.67,1435240.28
2021-06-27,29.67,31.92,29.21,31.87,953135.29
2021-06-28,31.87,34.29,31.0,33.0,958431.21
2021-06-29,33.0,35.86,32.7,33.94,1224967.44
2021-06-30,33.94,35.98,31.6,35.53,1326093.36
2021-07-01,35.53,35.56,32.25,33.32,1269495.81
2021-07-02,33.32,34.09,31.41,34.0,1089627.84
2021-07-03,34.0,35.38,33.26,34.5,668440.22
2021-07-04,34.5,35.51,33.56,34.32,895870.86
2021-07-05,34.32,34.48,32.45,32.93,1168349.23
2021-07-06,32.93,35.04,32.92,34.23,1353754.79
2021-07-07,34.23,38.1,33.85,36.72,1355883.87
2021-07-08,36.72,36.95,32.69,33.14,1702731.69
2021-07-09,33.14,34.44,31.98,33.3,867011.16
2021-07-10,33.3,34.19,31.06,31.72,864822.22
2021-07-11,31.72,32.56,31.39,32.19,464786.07
2021-07-12,32.19,32.68,30.05,30.78,680194.17
2021-07-13,30.78,31.07,28.83,29.12,680800.49
2021-07-14,29.12,31.43,27.42,31.36,1174428.58
2021-07-15,31.36,31.49,27.99,28.55,1110600.24
2021-07-16,28.55,29.45,26.21,26.27,999549.01
2021-07-17,26.27,27.79,26.01,26.75,762997.38
2021-07-18,26.75,27.74,26.27,26.67,423806.17
2021-07-19,26.67,26.7,24.01,24.5,1155888.46
2021-07-20,24.5,24.98,22.12,23.46,1753645.93
2021-07-21,23.46,27.45,22.83,26.63,2398074.66
2021-07-22,26.63,28.18,25.94,27.71,2278680.45
2021-07-23,27.71,28.7,26.41,28.51,2168197.0
2021-07-24,28.51,29.49,28.04,28.65,1874624.23
2021-07-25,28.65,28.88,26.55,28.19,1491435.75
2021-07-26,28.19,31.09,27.89,28.22,3272152.31
2021-07-27,28.22,28.98,26.93,28.14,1686662.26
2021-07-28,28.14,28.76,27.38,27.88,1427384.06
2021-07-29,27.88,31.88,27.34,31.28,1756452.46
2021-07-30,31.28,33.07,30.0,32.38,2473189.37
2021-07-31,32.38,36.98,31.71,36.74,2269753.43
2021-08-01,36.74,36.81,33.27,34.2,1943016.4
2021-08-02,34.2,35.91,33.02,33.19,1655463.92
2021-08-03,33.19,35.84,32.37,34.11,2072424.22
2021-08-04,34.11,36.65,33.27,35.78,1690594.61
2021-08-05,35.78,38.24,35.51,37.37,2394914.68
2021-08-06,37.37,40.4,35.67,39.52,1914757.5
2021-08-07,39.52,40.5,37.58,39.48,1800881.38
2021-08-08,39.48,39.57,36.93,37.67,1005602.94
2021-08-09,37.67,40.03,36.37,38.69,1244065.55
2021-08-10,38.69,41.67,38.23,40.68,1742432.35
2021-08-11,40.68,43.76,40.63,41.66,1879170.1
2021-08-12,41.6,41.87,39.34,41.09,1137946.31
2021-08-13,41.09,44.95,40.71,44.89,1980361.7
2021-08-14,44.89,44.9,42.77,44.16,1074740.94
2021-08-15,44.16,54.75,43.42,53.53,4408258.04
2021-08-16,53.53,69.33,52.33,62.15,8950292.47
2021-08-17,62.15,75.0,58.81,64.18,10105322.08
2021-08-18,64.18,80.52,59.98,72.79,11285254.23
2021-08-19,72.79,75.34,68.39,72.82,5798645.5
2021-08-20,72.82,79.95,70.96,78.68,3092100.02
2021-08-21,78.68,81.92,72.69,73.89,1826225.86
2021-08-22,73.89,77.59,71.31,72.75,1505941.19
2021-08-23,72.75,76.74,71.6,75.66,2195895.01
2021-08-24,75.66,79.4,68.68,70.67,3371922.83
2021-08-25,70.67,72.78,66.2,71.94,2239961.7
2021-08-26,71.94,78.29,66.28,74.85,6427283.76
2021-08-27,74.85,88.87,72.65,88.11,4102933.7
2021-08-28,88.11,97.86,85.65,96.38,2293192.29
2021-08-29,96.38,97.82,90.66,94.29,1654595.15
2021-08-30,94.29,116.31,93.79,110.17,4652599.85
2021-08-31,110.17,130.0,103.13,108.34,6218170.37
2021-09-01,108.34,119.56,106.02,110.73,3350868.08
2021-09-02,110.73,132.08,109.37,128.29,6797626.5
2021-09-03,128.29,148.91,128.21,146.46,7050582.45
2021-09-04,146.46,150.67,136.03,139.0,2211486.59
2021-09-05,139.0,144.99,134.85,142.11,1679051.25
2021-09-06,142.11,166.06,137.68,164.31,2685095.43
2021-09-07,164.31,194.96,131.78,173.2,8272735.45
2021-09-08,173.2,197.94,146.72,191.01,11751900.24
2021-09-09,191.01,215.85,179.4,187.7,12250108.39
2021-09-10,187.7,197.27,168.1,179.5,7882931.45
2021-09-11,179.5,193.33,174.55,179.1,5607502.1
2021-09-12,179.1,181.57,167.49,174.4,3320191.23
2021-09-13,174.4,174.96,150.49,169.66,8147089.32
2021-09-14,169.66,171.84,142.51,158.92,8655147.38
2021-09-15,158.92,166.95,153.95,158.66,5295790.51
2021-09-16,158.66,163.09,147.43,152.11,4267437.38
2021-09-17,152.11,153.4,134.25,147.49,7165490.16
2021-09-18,147.49,171.55,144.27,169.36,6879081.22
2021-09-19,169.36,170.98,150.73,152.86,4423412.88
2021-09-20,152.86,153.41,130.49,132.08,9374408.49
2021-09-21,132.08,144.61,116.01,124.04,10171433.11
2021-09-22,124.04,151.98,122.14,148.18,8577111.52
2021-09-23,148.18,152.44,143.03,150.0,4625269.71
2021-09-24,150.0,151.29,128.52,139.28,5899901.53
2021-09-25,139.28,144.07,133.58,136.16,2719426.05
2021-09-26,136.16,140.82,124.9,135.84,3763786.53
2021-09-27,135.84,148.96,133.81,136.35,3921485.07
2021-09-28,136.35,139.41,128.14,132.21,3424594.77
2021-09-29,132.21,140.12,131.13,135.3,3284690.46
2021-09-30,135.3,142.94,134.11,141.32,2924528.18
2021-10-01,141.32,165.0,138.31,161.67,5106669.26
2021-10-02,161.67,175.03,156.24,168.99,3483482.2
2021-10-03,168.99,177.73,165.63,173.06,2932970.95
2021-10-04,173.06,173.11,162.29,167.21,3331902.94
2021-10-05,167.21,170.2,159.92,164.63,2988984.26
2021-10-06,164.63,165.48,150.33,153.92,4352374.82
2021-10-07,153.93,161.52,150.32,154.35,3248913.07
2021-10-08,154.29,168.88,152.44,158.83,3311719.52
2021-10-09,158.83,161.56,154.42,156.82,1840750.68
2021-10-10,156.82,158.49,145.84,147.67,1877292.65
2021-10-11,147.67,154.0,140.31,144.92,2680535.07
2021-10-12,144.92,153.44,137.7,152.43,4414004.21
2021-10-13,152.43,155.52,144.37,148.06,2773830.3
2021-10-14,148.06,155.65,147.35,150.01,2438329.44
2021-10-15,150.01,165.26,146.76,163.17,4295179.21
2021-10-16,163.17,164.76,156.63,157.56,1656278.36
2021-10-17,157.56,167.47,153.39,160.04,2219918.8
2021-10-18,160.04,162.92,154.97,157.15,1773640.5
2021-10-19,157.15,159.38,153.22,155.89,1513257.81
2021-10-20,155.89,176.89,155.16,176.81,3538555.61
2021-10-21,176.81,194.17,176.76,190.25,7126534.16
2021-10-22,190.25,215.0,188.1,196.22,7231885.34
2021-10-23,196.22,205.67,192.09,197.73,2980617.73
2021-10-24,197.73,204.89,185.34,202.3,3279917.64
2021-10-25,202.3,218.93,198.19,209.85,4092780.67
2021-10-26,209.85,214.04,196.52,199.72,3391463.69
2021-10-27,199.72,205.56,179.66,184.52,5303976.17
2021-10-28,184.52,201.53,181.77,194.85,4052313.36
2021-10-29,194.85,205.23,194.71,200.41,2627477.41
2021-10-30,200.41,200.63,187.51,195.91,1866159.22
2021-10-31,195.91,205.14,185.67,202.66,2680416.62
2021-11-01,202.66,211.66,198.05,203.51,3277868.31
2021-11-02,203.51,222.35,201.16,221.14,3195753.33
2021-11-03,221.14,246.51,216.07,243.02,5532527.74
2021-11-04,243.02,250.48,234.52,247.17,4054836.27
2021-11-05,247.17,248.41,230.68,236.34,2581878.07
2021-11-06,236.34,259.95,235.04,258.63,3077551.92
2021-11-07,258.63,258.81,245.9,249.76,2081450.07
2021-11-08,249.76,253.3,240.76,248.35,3177200.36
2021-11-09,248.35,253.17,237.5,239.03,2673010.87
2021-11-10,239.03,248.09,218.64,233.62,3860734.49
2021-11-11,233.62,246.46,229.6,233.51,2661561.89
2021-11-12,233.51,239.0,220.98,228.64,3181478.15
2021-11-13,228.64,241.92,224.99,241.66,2260636.61
2021-11-14,241.66,241.94,230.47,238.71,1703391.31
2021-11-15,238.71,246.33,234.5,238.17,2508954.5
2021-11-16,238.17,238.17,214.88,219.09,4193493.59
2021-11-17,219.09,222.24,209.95,218.95,3556315.05
2021-11-18,218.95,222.78,186.78,195.24,5601973.49
2021-11-19,195.24,219.74,189.18,215.39,3931207.66
2021-11-20,215.39,221.28,206.17,217.89,2113410.18
2021-11-21,217.89,235.71,210.44,230.56,2898523.22
2021-11-22,230.56,232.18,211.75,215.78,3594916.52
2021-11-23,215.78,226.17,211.04,221.94,2415707.59
2021-11-24,221.94,222.31,200.2,205.75,2912792.47
2021-11-25,205.75,216.48,202.06,210.06,2595187.94
2021-11-26,210.06,210.6,182.81,192.24,4638627.74
2021-11-27,192.24,199.47,190.69,193.0,1890558.94
2021-11-28,193.0,202.3,181.17,200.92,2570691.62
2021-11-29,200.92,212.94,199.87,204.22,3137423.53
2021-11-30,204.22,218.52,199.73,208.43,3871301.51
2021-12-01,208.43,232.51,207.77,229.91,4036783.81
2021-12-02,229.91,243.31,220.2,233.89,4024135.57
2021-12-03,233.89,239.63,206.22,211.87,4577358.88
2021-12-04,211.87,212.63,175.73,201.01,6745732.36
2021-12-05,201.01,204.66,181.28,196.74,3913687.98
2021-12-06,196.74,197.72,176.61,194.03,4427021.98
2021-12-07,194.03,204.27,188.08,190.38,3183358.65
2021-12-08,190.38,196.33,183.89,194.74,3128188.07
2021-12-09,194.74,196.81,178.8,181.41,2569585.5
2021-12-10,181.41,184.56,167.31,167.65,3011751.31
2021-12-11,167.65,173.8,161.48,172.08,2496572.94
2021-12-12,172.08,176.87,167.8,173.0,1456153.08
2021-12-13,173.0,173.0,148.1,155.15,4381779.71
2021-12-14,155.15,163.17,149.67,161.43,3265549.66
2021-12-15,161.43,183.17,156.91,178.55,4796467.85
2021-12-16,178.55,189.3,174.51,176.92,3367535.35
2021-12-17,176.92,182.47,168.15,175.65,3468871.36
2021-12-18,175.65,184.31,171.1,182.92,2018242.32
2021-12-19,182.92,189.39,178.49,180.02,1970904.87
2021-12-20,180.02,181.21,168.48,174.01,2637340.07
2021-12-21,174.01,182.64,170.29,179.76,2456350.42
2021-12-22,179.76,187.55,177.16,178.36,2685848.84
2021-12-23,178.36,193.64,175.73,190.12,2513810.33
2021-12-24,190.12,197.54,184.35,190.43,2478955.16
2021-12-25,190.43,195.3,189.33,193.05,1501231.88
2021-12-26,193.05,200.62,190.32,197.89,1642758.51
2021-12-27,197.89,204.79,194.9,195.73,1678870.83
2021-12-28,195.73,195.75,176.38,177.25,3269893.8
2021-12-29,177.25,180.62,170.16,170.62,2262570.7
2021-12-30,170.62,175.75,168.24,172.53,1670052.13
2021-12-31,172.53,177.68,167.68,169.93,2025499.07
2022-01-01,169.93,179.21,169.92,179.09,1251608.56
2022-01-02,179.09,179.5,174.41,176.4,952714.47
2022-01-03,176.4,176.48,166.68,170.08,1333457.09
2022-01-04,170.08,173.83,166.49,167.75,1494842.97
2022-01-05,167.75,171.28,145.02,154.36,2680080.83
2022-01-06,154.36,154.76,146.02,150.23,3122732.02
2022-01-07,150.23,150.64,133.79,136.39,4366669.92
2022-01-08,136.39,148.04,133.01,142.11,3303641.22
2022-01-09,142.11,145.65,137.88,140.77,1688640.76
2022-01-10,140.77,143.75,130.06,135.86,2913309.56
2022-01-11,135.86,143.51,133.65,140.25,2137379.33
2022-01-12,140.25,153.26,138.27,151.51,2634741.32
2022-01-13,151.51,157.85,145.59,146.2,2304542.8
2022-01-14,146.2,150.62,142.04,146.18,1968768.73
2022-01-15,146.18,149.59,144.08,147.74,1205217.01
2022-01-16,147.74,151.96,146.22,147.96,1136135.18
2022-01-17,147.96,148.29,137.15,139.84,1862106.92
2022-01-18,139.84,142.8,134.39,141.29,1591113.09
2022-01-19,141.29,142.74,132.83,135.3,1749348.4
2022-01-20,135.3,143.91,126.22,127.65,2105009.02
2022-01-21,127.65,129.09,106.16,112.47,7236896.26
2022-01-22,112.47,114.1,88.1,94.68,8025037.62
2022-01-23,94.68,104.74,93.34,99.81,4620279.84
2022-01-24,99.81,99.89,80.79,91.99,10200729.81
2022-01-25,91.99,100.01,87.48,94.65,5326542.53
2022-01-26,94.65,104.39,89.32,92.14,5826024.41
2022-01-27,92.14,94.62,85.71,89.56,4749368.92
2022-01-28,89.56,93.54,87.23,91.36,3666977.23
2022-01-29,91.36,98.94,90.54,96.16,2793510.06
2022-01-30,96.16,97.58,91.45,93.32,1585052.55
2022-01-31,93.32,101.39,89.12,99.54,3411154.68
2022-02-01,99.54,113.72,99.08,110.09,5768832.32
2022-02-02,110.09,112.45,96.96,101.89,5433172.66
2022-02-03,101.89,103.17,94.12,101.9,3885724.34
2022-02-04,101.9,112.89,100.39,112.58,4533303.57
2022-02-05,112.58,118.68,110.33,113.82,3014461.35
2022-02-06,113.82,116.12,111.67,115.33,1876530.04
2022-02-07,115.33,121.97,112.8,117.57,3378636.62
2022-02-08,117.57,120.32,109.78,113.42,3673823.13
2022-02-09,113.42,117.2,109.41,114.04,2231067.8
2022-02-10,114.04,114.97,105.79,106.18,3141348.8
2022-02-11,106.18,108.36,95.2,96.52,3453354.14
2022-02-12,96.52,99.87,92.91,95.96,2102748.72
2022-02-13,95.96,97.39,91.42,92.9,1527140.92
2022-02-14,92.9,97.95,90.83,96.43,2302296.29
2022-02-15,96.43,105.83,96.39,105.54,2704152.24
2022-02-16,105.54,105.63,98.33,101.94,2346126.46
2022-02-17,101.94,102.84,92.39,93.58,2363581.59
2022-02-18,93.58,96.43,89.36,89.93,2120906.04
2022-02-19,89.93,92.73,88.71,91.31,1409586.68
2022-02-20,91.31,93.94,85.69,90.75,2278454.28
2022-02-21,90.75,96.16,82.73,82.99,3552014.4
2022-02-22,82.99,87.59,81.06,86.44,2741442.98
2022-02-23,86.44,93.34,84.44,84.61,3114172.53
2022-02-24,84.61,92.69,75.43,89.41,6479419.89
2022-02-25,89.41,95.05,86.88,92.84,3290008.11
2022-02-26,92.84,95.16,89.29,90.29,1715257.81
2022-02-27,90.29,92.23,84.18,85.66,2150633.07
2022-02-28,85.66,102.36,84.21,99.75,3958430.64
2022-03-01,99.75,101.88,94.39,98.65,4154598.01
2022-03-02,98.65,106.37,96.85,100.75,4188167.49
2022-03-03,100.75,101.71,94.1,95.6,2857170.17
2022-03-04,95.6,95.88,87.03,88.24,3364188.85
2022-03-05,88.24,91.15,86.08,89.61,1897965.55
2022-03-06,89.61,89.9,84.19,84.55,1968497.64
2022-03-07,84.55,86.58,79.99,81.88,3078668.7
2022-03-08,81.88,84.98,81.39,82.31,2587208.78
2022-03-09,82.31,89.75,82.03,88.07,3082107.44
2022-03-10,88.07,88.61,80.99,82.93,2639976.68
2022-03-11,82.93,84.28,80.09,80.67,2335757.93
2022-03-12,80.67,82.72,80.64,81.41,986033.7
2022-03-13,81.41,83.17,77.92,78.76,1397728.17
2022-03-14,78.76,82.23,78.07,81.26,2057242.39
2022-03-15,81.26,85.88,78.91,82.85,2053275.42
2022-03-16,82.85,87.99,81.55,87.84,2670711.27
2022-03-17,87.84,90.99,86.68,87.88,2666800.89
2022-03-18,87.88,91.99,84.53,89.81,2851086.63
2022-03-19,89.81,94.55,89.3,92.41,2347265.39
2022-03-20,92.41,92.53,87.97,88.6,1482330.23
2022-03-21,88.6,91.22,86.92,88.65,1914287.05
2022-03-22,88.65,93.96,88.05,90.47,2154288.29
2022-03-23,90.47,96.27,89.35,94.89,2731648.64
2022-03-24,94.89,103.71,93.53,102.39,4089391.01
2022-03-25,102.39,104.86,97.12,98.65,3046836.01
2022-03-26,98.65,103.39,97.72,101.79,1579057.63
2022-03-27,101.79,107.44,98.89,107.08,1848093.43
2022-03-28,107.08,113.84,105.22,105.93,3789805.17
2022-03-29,105.93,115.65,105.61,111.78,3752495.0
2022-03-30,111.78,124.56,107.16,120.64,5027797.39
2022-03-31,120.64,129.36,120.01,122.84,4696609.63
2022-04-01,122.84,138.44,117.78,134.54,4926559.2
2022-04-02,134.54,143.54,131.44,132.51,3046967.66
2022-04-03,132.51,140.98,130.68,136.91,2338332.21
2022-04-04,136.91,138.28,125.91,132.13,2843077.66
2022-04-05,132.13,136.63,126.09,126.83,2299734.15
2022-04-06,126.83,127.39,112.16,112.99,4569271.9
2022-04-07,112.99,119.96,110.96,118.6,3114696.24
2022-04-08,118.6,122.41,108.15,109.97,2925969.97
2022-04-09,109.97,113.67,108.32,112.96,1431350.79
2022-04-10,112.96,116.04,109.8,111.02,1440484.57
2022-04-11,111.02,111.94,98.2,99.65,3451969.52
2022-04-12,99.65,109.36,98.41,103.26,3272285.41
2022-04-13,103.26,106.0,100.12,104.97,2089342.4
2022-04-14,104.97,107.7,99.04,100.77,2192369.54
2022-04-15,100.77,102.88,99.57,101.35,1243368.3
2022-04-16,101.35,103.48,100.81,102.1,887451.98
2022-04-17,102.1,105.44,99.68,100.18,1304675.94
2022-04-18,100.18,102.66,94.85,102.37,2338578.72
2022-04-19,102.37,108.82,101.06,108.61,2099411.03
2022-04-20,108.61,110.91,104.35,105.59,2217785.11
2022-04-21,105.59,109.98,100.03,101.77,2703924.74
2022-04-22,101.77,103.55,99.23,100.54,1843644.35
2022-04-23,100.54,102.89,98.37,100.61,1182997.21
2022-04-24,100.61,102.25,98.64,99.23,1160303.89
2022-04-25,99.23,101.58,94.35,100.99,2125118.08
2022-04-26,100.99,101.98,94.68,95.71,1725073.17
2022-04-27,95.71,100.76,94.93,98.34,1833285.69
2022-04-28,98.34,100.54,96.35,98.22,1884973.97
2022-04-29,98.22,98.64,92.34,93.93,2112680.59
